filename,rouge1_f1,rouge2_f1,rougeL_f1,sim_text_mean,sim_text_median,sim_text_std,sim_sum_mean,sim_sum_median,sim_sum_std,length_mean,length_ratio,sum_ratio,god_metric
decimake-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b15-lp1_3.json,0.638,0.427,0.564,0.945,0.969,0.059,0.871,0.899,0.099,34.357,0.745,1.348,0.733
decimake-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b7-lp1.2_3.json,0.629,0.412,0.547,0.944,0.959,0.053,0.860,0.881,0.096,33.310,0.734,1.330,0.718
decimake-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b7-lp1.5_1.json,0.570,0.322,0.480,0.875,0.922,0.166,0.808,0.849,0.177,30.929,0.694,1.274,0.665
decimake-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b7-lp1_3.json,0.612,0.400,0.533,0.927,0.955,0.102,0.846,0.881,0.130,32.762,0.718,1.277,0.710
decimake-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_pegasus_3-2.json,0.572,0.365,0.506,0.937,0.964,0.083,0.857,0.871,0.104,37.881,0.914,1.597,0.691
decimake-3_gemma-7b-it-temp0.70_bart-sm-b15-lp1.5.json,0.570,0.390,0.497,0.793,0.962,0.334,0.713,0.848,0.315,33.905,0.720,1.310,0.686
decimake-3_gemma-7b-it-temp0.95_bart-sm-b15-lp1.5_3.json,0.648,0.469,0.578,0.977,0.996,0.038,0.863,0.873,0.100,47.548,0.901,1.727,0.740
decimake-3_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b15-lp1.5_3.json,0.653,0.440,0.576,0.947,0.970,0.065,0.868,0.892,0.095,36.667,0.771,1.416,0.737
decimake-analyse-1_gemma-7b-it-temp0.00_t5_fewshot-sm-10-b5;15-lp0;1(0).json,0.653,0.471,0.592,0.958,0.978,0.046,0.860,0.890,0.112,44.048,0.827,1.580,0.746
decimake-analyse-1_gemma-7b-it-temp0.20_t5_fewshot-sm-10-b5;15-lp0;1(0).json,0.667,0.486,0.605,0.967,0.978,0.035,0.877,0.900,0.095,42.714,0.826,1.563,0.756
decimake-analyse-1_gemma-7b-it-temp0.50_t5_fewshot-sm-10-b5;15-lp-1;1(0).json,0.646,0.466,0.584,0.955,0.972,0.044,0.859,0.895,0.112,41.690,0.793,1.514,0.743
decimake-analyse-1_gemma-7b-it-temp0.50_t5_fewshot-sm-10-b5;15-lp0;1(0).json,0.678,0.496,0.613,0.964,0.980,0.043,0.880,0.902,0.094,43.810,0.821,1.543,0.762
decimake-analyse-1_gemma-7b-it-temp0.50_t5_fewshot-sm-10-b9;15-lp0.5;1.5(0)_lp.json,0.653,0.480,0.599,0.984,0.995,0.023,0.872,0.889,0.093,48.048,0.899,1.724,0.751
decimake-analyse-1_gemma-7b-it-temp0.50_t5_fewshot-sm-4-b9;15-lp0.5;1.5(0)_lp.json,0.657,0.477,0.592,0.956,0.981,0.055,0.864,0.897,0.112,43.905,0.820,1.574,0.750
decimake-analyse-1_gemma-7b-it-temp0.70_t5-30_fewshot-sm-5-b5;15-lp0.2;0.8(0).json,0.659,0.482,0.601,0.935,0.956,0.065,0.864,0.870,0.093,41.190,0.776,1.484,0.740
decimake-analyse-1_gemma-7b-it-temp0.70_t5-30_fewshot-sm-5-b5;15-lp1;2.5(0).json,0.652,0.471,0.587,0.935,0.956,0.065,0.865,0.867,0.093,40.476,0.773,1.482,0.733
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-10-b5;15-lp-0.5;1(0).json,0.687,0.526,0.618,0.961,0.972,0.029,0.900,0.902,0.060,38.308,0.776,1.492,0.768
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-10-b5;15-lp-1;1(0).json,0.667,0.484,0.605,0.956,0.977,0.048,0.866,0.895,0.110,42.786,0.801,1.500,0.754
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-10-b5;15-lp0;1(0).json,0.666,0.488,0.607,0.958,0.980,0.051,0.870,0.901,0.107,43.262,0.812,1.535,0.757
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-10-b5;15-lp0;1(1)_airbus_test.json,0.670,0.491,0.605,0.952,0.978,0.059,0.867,0.896,0.110,42.500,0.817,1.539,0.756
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-10-b5;15-lp0;1.5(0)_final.json,0.654,0.477,0.596,0.970,0.982,0.037,0.867,0.895,0.109,46.929,0.865,1.650,0.750
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-10-b5;15-lp0;1.5(0)_noxgboost.json,0.654,0.474,0.592,0.965,0.980,0.040,0.867,0.900,0.109,45.238,0.859,1.638,0.750
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-10-b9;15-lp0.5;1.5(0)_final.json,0.692,0.517,0.621,0.966,0.976,0.037,0.892,0.903,0.070,44.034,0.825,1.499,0.769
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-20-b5;15-lp0;1.5(0)_final.json,0.560,0.322,0.389,0.969,0.969,0.011,0.887,0.887,0.001,57.000,0.768,2.081,0.669
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-5-b5;15-lp0.2;0.8(0).json,0.713,0.424,0.437,0.984,0.984,0.000,0.880,0.880,0.000,46.000,0.885,1.150,0.719
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-5-b5;15-lp0.2;0.8(0)_noxgboost_noxgboost.json,0.646,0.463,0.580,0.954,0.972,0.052,0.859,0.892,0.112,41.238,0.798,1.534,0.741
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-5-b5;15-lp0;1(0)_noxgboost.json,0.653,0.472,0.587,0.953,0.974,0.051,0.862,0.900,0.111,42.429,0.808,1.539,0.748
decimake-analyse-1_gemma-7b-it-temp0.70_t5_fewshot-sm-5-b9;15-lp0.6;1.2(0)_lp.json,0.648,0.468,0.586,0.978,0.994,0.032,0.866,0.889,0.092,46.833,0.881,1.667,0.746
decimake-analyse-1_gemma-7b-it-temp0.80_t5_fewshot-sm-5-b9;15-lp0.6;1.2(0)_xgboost.json,0.647,0.468,0.590,0.960,0.975,0.049,0.859,0.887,0.113,43.810,0.825,1.593,0.742
decimake-analyse-1_gemma-7b-it-temp0.85_t5_fewshot-sm-10-b5;15-lp0;1(0).json,0.664,0.493,0.604,0.959,0.978,0.045,0.873,0.900,0.106,42.429,0.809,1.550,0.757
decimake-analyse-1_gemma-7b-it-temp0.95_bart-sm-b15-lp0.8_5.json,0.654,0.477,0.590,0.966,1.000,0.053,0.854,0.861,0.103,43.095,0.859,1.602,0.741
decimake-analyse-1_gemma-7b-it-temp0.95_bart_fewshot-sm-2-b9;15-lp0.6;1.2(0).json,0.640,0.460,0.565,0.963,0.979,0.050,0.849,0.862,0.104,43.857,0.853,1.623,0.728
decimake-analyse-1_gemma-7b-it-temp0.95_t5_fewshot-sm-10-b5;15-lp0;1(0).json,0.664,0.482,0.601,0.954,0.978,0.058,0.870,0.896,0.097,42.024,0.805,1.532,0.753
decimake-analyse-1_gemma-7b-it-temp0.95_t5_fewshot-sm-5-b9;15-lp0.6;1.2(0).json,0.665,0.488,0.608,0.961,0.978,0.049,0.868,0.900,0.109,45.429,0.827,1.579,0.756
decimake-analyse-2_gemma-7b-it-temp0.50_t5_fewshot-sm-10-b5;15-lp0;1(1).json,0.667,0.491,0.609,0.956,0.974,0.049,0.871,0.897,0.107,42.286,0.801,1.527,0.756
decimake-analyse-2_gemma-7b-it-temp0.95_bart-sm-b15-lp1_5.json,0.623,0.451,0.555,0.948,0.996,0.148,0.827,0.847,0.162,44.024,0.869,1.647,0.720
decimake-analyse-2_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b15-lp1_5.json,0.570,0.304,0.479,0.878,0.913,0.157,0.815,0.861,0.168,27.119,0.570,1.059,0.665
decimake-analyse-3_gemma-7b-it-temp0.95_bart-ita-b15-lp1.5_5.json,0.626,0.435,0.547,0.927,0.973,0.146,0.822,0.858,0.159,38.429,0.771,1.438,0.716
decimake-analyse-3_gemma-7b-it-temp0.95_bart-sm-b15-lp1.5.json,0.634,0.460,0.563,0.940,0.977,0.106,0.828,0.856,0.145,39.595,0.823,1.534,0.724
decimake-analyse-3_gemma-7b-it-temp0.95_bart-sm-b15-lp1.5_2.json,0.643,0.469,0.574,0.971,0.983,0.041,0.858,0.856,0.103,47.048,0.887,1.701,0.730
decimake-analyse-3_gemma-7b-it-temp0.95_bart-sm-b15-lp1.5_3.json,0.632,0.456,0.559,0.949,0.978,0.108,0.844,0.873,0.133,43.619,0.857,1.632,0.728
decimake-analyse-3_gemma-7b-it-temp0.95_bart-sm-b15-lp1_4.json,0.629,0.438,0.542,0.964,0.978,0.049,0.848,0.855,0.101,44.167,0.869,1.670,0.716
decimake-analyse-3_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-ita-b15-lp1_5.json,0.554,0.287,0.470,0.884,0.897,0.072,0.820,0.826,0.103,24.571,0.524,0.954,0.643
decimake-analyse-3_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b15-lp1.5.json,0.613,0.379,0.527,0.941,0.949,0.053,0.859,0.874,0.097,35.952,0.751,1.387,0.703
decimake-analyse-3_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b15-lp1_4.json,0.571,0.344,0.494,0.913,0.943,0.148,0.834,0.855,0.161,30.833,0.689,1.260,0.677
decimake-analyse-3_openchat-3.5-0106-temp0.95_bart-sm-b15-lp1_4.json,0.602,0.384,0.516,0.928,0.953,0.074,0.849,0.851,0.093,37.690,0.789,1.437,0.693
gemma-7b-it.json,0.406,0.202,0.318,0.721,0.869,0.279,0.651,0.749,0.270,33.571,0.833,1.499,0.549
itachi_test.json,0.671,0.491,0.612,0.952,0.973,0.051,0.868,0.900,0.112,42.476,0.795,1.506,0.758
rag-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b4-lp0.6(0).json,0.517,0.253,0.421,0.860,0.869,0.084,0.822,0.843,0.109,30.738,0.664,1.232,0.625
rag-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b4-lp0.6(1).json,0.479,0.199,0.355,0.850,0.853,0.060,0.806,0.811,0.097,32.071,0.707,1.276,0.585
rag-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b5-lp0.6(3).json,0.514,0.244,0.427,0.868,0.876,0.079,0.820,0.846,0.095,32.500,0.671,1.301,0.626
rag-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b7-lp0.6(0).json,0.545,0.270,0.442,0.880,0.898,0.068,0.843,0.869,0.091,32.214,0.658,1.202,0.649
rag-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b7-lp0.6(1).json,0.484,0.185,0.375,0.847,0.862,0.070,0.803,0.827,0.098,31.786,0.687,1.230,0.593
rag-1_Mixtral-8x7B-Instruct-v0.1-temp0.95_bart-sm-b7-lp0.6(2).json,0.372,0.118,0.287,0.765,0.763,0.120,0.735,0.755,0.113,29.190,0.666,1.215,0.508
